MAIN_ID,IDS,Z_VALUE,FLUX_B,FLUX_V,SCRIPT_NUMBER_ID
[KLK2001] 921213.63,[KLK2001] 921213.63,,,,0
[KLK2001] 920225.13,[KLK2001] 920225.13,,,,0
GRB 050418,GRB 050418,,,,0
[STK2001] 08647b,[STK2001] 08647b,,,,0
GRB 220829A,GRB 220829A,,,,0
GRB 041016,GRB 041016|HETE Trigger  3578,,,,0
GRB 161220A,GRB 161220A,,,,0
3B 930727B,3B 930727B|4B 930727B|Trigger  2468,,,,0
GRB 000528,GRB 000528,,,,0
GRB 210207B,GRB 210207B,,,,0
GRB 981018,GRB 981018,,,,0
[KLK2001] 970511.68,[KLK2001] 970511.68,,,,0
Fermi bn091224373,GRB 091224A|Fermi bn091224373,,,,0
GRB 050509,GRB 050509,,,,0
1B 910502,1B 910502|2B 910502|3B 910502|4B 910502|BSAS 910502 81445|GRB 910502|Trigger   142,,,,0
Fermi bn100204566,GRB 100204B|Fermi bn100204566,,,,0
4B 941018D,4B 941018D|Trigger  3250,,,,0
Fermi bn080725435,GRB 080725|Fermi bn080725435|GRB 080725A,,,,0
GRB 110918A,GRB 110918A,0.9840000,,,0
[STK2001] 11072b,[STK2001] 11072b,,,,0
Fermi bn090820027,GRB 090820|Fermi bn090820027|GRB 090820A,,,,0
GRB 010428,GRB 010428,,,,0
4B 950624B,4B 950624B|Trigger  3647,,,,0
Fermi bn130106829,Fermi bn130106829,,,,0
Fermi bn090617208,GRB 090617|Fermi bn090617208|GRB 090617A,,,,0
3B 930401C,3B 930401C|4B 930401C|Trigger  2281,,,,0
GRB 870618,GRB 870618,,,,0
[STK2001] 10369e,[STK2001] 10369e,,,,0
[STK2001] 09758f,[STK2001] 09758f,,,,0
GRB 140801A,GRB 140801A,1.3200000,,,0
GRB 051103,GRB 051103|NAME Sgr 0952+69,,,,0
Fermi bn081206604,GRB 081206B|Fermi bn081206604,,,,0
[KLK2001] 941012.61,[KLK2001] 941012.61,,,,0
4B 960508B,4B 960508B|Trigger  5456|[STK2001] 10211e,,,,0
Fermi bn180127049,Fermi bn180127049,,,,0
2MASXI J0911299+452806,LEDA 2265450|MaNGA 1-137883|MaNGA 8249-3704|2MASX J09112999+4528060|2MASXI J0911299+452806|PBC J0911.4+4528|SDSS J091129.97+452806.0|SDSS J091129.96+452805.9|SDSS J091129.96+452805.8|SWIFT J0911.2+4533|SWIFT J0911.5+4528|SWIFT J0911.5+4529|2XMMi J091129.9+452805|Gaia DR3 1011082928371066240,0.0268300,,,0
4B 950421,4B 950421|GRB 950421|Trigger  3516|[STK2001] 09828d,,,,0
Trigger  6004,Trigger  6004|[STK2001] 10482c,,,,0
GRB 120521A,GRB 120521A,,,,0
GRB 080919,GRB 080919,,,,0
Fermi bn100130729,GRB 100130A|Fermi bn100130729,,,,0
GRB 190728A,GRB 190728A,,,,0
Fermi bn180120207,GRB 180120A|Fermi bn180120207,,,,0
Fermi bn091221870,GRB 091221|Fermi bn091221870|GRB 091221A,,,,0
GRB 120219A,GRB 120219A,,,,0
Fermi bn160924253,Fermi bn160924253,,,,0
[STK2001] 09080c,[STK2001] 09080c,,,,0
[KLK2001] 931111.71,[KLK2001] 931111.71,,,,0
Fermi bn140427702,Fermi bn140427702,,,,0
GRB 950407,GRB 950407|TGRS   297,,,,0
GRB 961229,GRB 961229,,,,0
Fermi bn110212550,GRB 110212B|Fermi bn110212550,,,,0
4B 960715,4B 960715|Trigger  5539|[STK2001] 10279a,,,,0
GRB 160915A,GRB 160915A,,,,0
3B 940214B,3B 940214B|4B 940214B|Trigger  2825|[STK2001] 09397b,,,,0
GRB 221121A,GRB 221121A,,,,0
Fermi bn090621922,GRB 090621B|Fermi bn090621922,,,,0
Fermi bn130706900,Fermi bn130706900,,,,0
GRB 030308,GRB 030308,,,,0
GRB 140331A,GRB 140331A,,,,0
[STK2001] 10742c,[STK2001] 10742c,,,,0
2B 921123,2B 921123|3B 921123|4B 921123|GRB 921123|Trigger  2067|[STK2001] 08949b,,,,0
GRB 120211A,GRB 120211A,,,,0
PhebusB 930318,PhebusB 930318,,,,0
4B 960316,4B 960316|Trigger  5255|[STK2001] 10158a,,,,0
GRB 980515,GRB 980515,,,,0
Fermi bn090802235,GRB 090802A|Fermi bn090802235|GRB 090802,,,,0
[STK2001] 09257b,[STK2001] 09257b,,,,0
GRB 001212B,GRB 001212B,,,,0
GRB 080503,GRB 080503,,,,0
GRB 221206B,GRB 221206B,,,,0
GRB 000306A,GRB 000306A|Trigger  8018|[STK2001] 11609d,,,,0
GRB 040225,GRB 040225,,,,0
[STK2001] 11169b,[STK2001] 11169b,,,,0
Fermi bn090109332,GRB 090109A|Fermi bn090109332,,,,0
Fermi bn101003244,GRB 101003A|Fermi bn101003244,,,,0
